sr. no.,heading,synopsis,link,section
1,"OpenAI says Sam Altman will return as CEO, new board announced","Putting an end to the days-long power tussle at OpenAI, the company on Wednesday announced that Sam Altman will return to the high-flying AI startup as CEO.",https://economictimes.indiatimes.com/news/politics//tech/technology/openai-says-sam-altman-will-return-as-ceo-new-board-announced/articleshow/105406019.cms,tech
2,"With eye on election, UK's finance minister Jeremy Hunt cuts taxes in bid to boost economy","Hunt announced big increases in welfare payments and the state pension alongside a bigger-than-expected, 2 percentage-point cut in the rate of social security contributions for employees, along with a smaller cut for self-employed workers.",https://economictimes.indiatimes.com/news/politics//news/international/uk/with-eye-on-election-uks-finance-minister-jeremy-hunt-cuts-taxes-in-bid-to-boost-economy/articleshow/105422580.cms,news
3,Not disclosing pre-existing health conditions main reason for claim rejection,"Insurers frequently reject health insurance claims, with approximately 25% facing rejection due to the policyholder's non-disclosure of pre-existing conditions such as diabetes or hypertension during purchase. An additional 25% of rejections occur when policyholders are unaware of coverage terms and attempt to claim for outpatient department (OPD) or other treatments not covered by the policy.",https://economictimes.indiatimes.com/news/politics//industry/banking/finance/insure/insurers-often-deny-health-insurance-claims-due-to-non-disclosure-of-pre-existing-conditions/articleshow/105409131.cms,industry
4,Not updated Aadhaar in last 10 years? Check last date to update your Aadhaar details for free,The UIDAI is urging Aadhaar holders of 10 years to update the details with the latest information to curb Aadhaar related fraud.,https://economictimes.indiatimes.com/news/politics//wealth/save/not-updated-aadhaar-in-last-10-years-check-last-date-to-update-your-aadhaar-details-for-free/articleshow/105412920.cms,wealth
5,"At around 7%, wage increase in India in 2022 was higher than global average: Report","Globally, the paycheque increase was 6.7% on average for men compared with 6% for women, says the ‘ADP Research Institute's People at Work 2023: A Global Workforce View’ report.",https://economictimes.indiatimes.com/news/politics//jobs/hr-policies-trends/at-around-7-wage-increase-in-india-in-2022-was-higher-than-global-average-report/articleshow/105379114.cms,jobs
6,"Uttarkashi: NDRF personnel enter Silkyara tunnel as rescue operations intensifies, 30 ambulances arranged at spot","Bisan Singh Panwar, Ambulance Technical Staff said, ""We have oxygen cylinders available in the ambulances. Once workers come out, their vital organs will be checked. A total of 30 ambulances have been arranged so far. Out of 30 ambulances, there are 8 advanced life support ambulances and 22 BLS ambulances. It has been instructed to us that remain alert as rescue operation might be completed by night.""",https://economictimes.indiatimes.com/news/politics//news/india/uttarkashi-ndrf-personnel-enter-silkyara-tunnel-as-rescue-operations-intensifies-30-ambulances-arranged-at-spot/articleshow/105422834.cms,news
7,"India vs Australia 5-match T20 series starts from Nov 23. Dates, venues, timing and where to watch live","India vs Australia T20 series: As the 2023 ODI World Cup came to a close on Sunday, cricket fans would be shifting their attention to the upcoming T20 series between finalists India and Australia, commencing from November 23. The spotlight now shifts to the 2024 T20 World Cup in West Indies and the US. India has announced its squad and Suryakumar Yadav will lead the team, given Hardik Pandya's injury. Australia's squad, led by Matthew Wade, includes key players from the ODI team that won the ODI World Cup.",https://economictimes.indiatimes.com/news/politics//news/sports/india-vs-australia-5-match-t20-series-starts-from-nov-23-dates-venues-timing-and-where-to-watch-live/articleshow/105360201.cms,news
8,"Euro 2024: Qualifying teams, date and everything else you need to know","The qualifying group stage of Euro 2024 is over. Apart from Germany which is the host, teams like England, Croatia and others have been qualified. Russia because of the ban by UEFA will not be allowed to take part in the tournament.",https://economictimes.indiatimes.com/news/politics//news/international/uk/euro-2024-qualifying-teams-date-and-everything-else-you-need-to-know/articleshow/105408741.cms,news
9,"Telangana Polls: KCR and family trampled dreams, aspirations of Telangana's youth, alleges Congress leader Surjewala","Surjewala accused Chief Minister K Chandrasekhar Rao of breaking promises made during the statehood agitation, including providing one job per family and a Rs 3,000 unemployment allowance. Surjewala claimed the TRS-BJP nexus led to job losses and pledged that a Congress government in Telangana would address unemployment by filling government jobs and reforming the state's Public Service Commission.",https://economictimes.indiatimes.com/news/politics//news/elections/assembly-elections/telangana-assembly-elections/telangana-polls-kcr-and-family-trampled-dreams-aspirations-of-telanganas-youth-alleges-congress-leader-surjewala/articleshow/105417562.cms,news
10,"Gautam kicked, punched me, alleges Nawaz Modi; Singhania denies","She said the episode on September 9 was one of three instances of assault she suffered at his hands. Modi, a fitness coach, was speaking to ET on the sidelines of the launch event of her book on natural anti-ageing techniques. Top legal sources close to Singhania said, in the face of allegations, he will soon seek legal recourse to safeguard his family's interests. In a statement, the industrialist said: ""In the interest of my two beautiful daughters, I would like to maintain my family's dignity and I will refrain from offering any comment. Please respect my privacy.""",https://economictimes.indiatimes.com/news/politics//news/india/gautam-kicked-punched-me-alleges-nawaz-modi-singhania-denies/articleshow/105398767.cms,news
13,"Tata Tech IPO to open on Nov 22, nearly 20 years after TCS listing","Other details, including pricing of the nearly 61-million share issue at the Tata Motors-owned unit, will be announced closer to the IPO date.",https://economictimes.indiatimes.com/news/politics//markets/ipos/fpos/tata-tech-ipo-to-open-on-nov-22-nearly-20-years-after-tcs-listing/articleshow/105219758.cms,markets
15,"In companies with high quality growth, valuation is not a concern: Richard Liu, JM Financial","“Two-wheeler growth precedes consumer staples growth by about two to three quarters. It is a bit counterintuitive, but that is what data suggests. I think we are on a recovery path. The mood will incrementally get better as we get into 2024. Given that growth is so scarce globally, and India is one of the spaces where there is a very good level of growth and that is where the premiumness in terms of people's willingness to pay for is coming.”",https://economictimes.indiatimes.com/news/politics//markets/expert-view/in-companies-with-high-quality-growth-valuation-is-not-a-concern-richard-liu-jm-financial/articleshow/105415897.cms,markets
16,RBI Guv Das flags increasing interconnectivity between banks and NBFCs,"Reserve Bank of India (RBI) Governor Shaktikanta Das emphasized the increasing connectivity between banks and Non-Banking Financial Companies (NBFCs). He urged banks to continually assess their exposure to NBFCs and the exposure of individual NBFCs to multiple banks, as concentrated linkages could pose ""contagion risks.""",https://economictimes.indiatimes.com/news/politics//industry/banking/finance/banking/rbi-guv-das-flags-increasing-interconnectivity-between-banks-and-nbfcs/articleshow/105406485.cms,industry
17,"After Naveen Jindal backtracks, Go First has nowhere to go","Naveen Jindal group company Jindal Power, which had submitted an expression of interest for Go First, has decided not to submit a financial bid for the airline after a month-long due diligence, the company told the airline's bankers on Tuesday.",https://economictimes.indiatimes.com/news/politics//industry/transportation/airlines-/-aviation/after-naveen-jindal-backtracks-go-first-has-nowhere-to-go/articleshow/105419125.cms,industry
18,Dubai and the UAE: A global wealth nexus,"Dubai and the UAE are flourishing global wealth magnets, offering tax benefits, a thriving business environment, and strategic allure for HNWIs and businesses pursuing prosperity.",https://economictimes.indiatimes.com/news/politics//news/international/uae/dubai-and-the-uae-a-global-wealth-nexus/articleshow/105355854.cms,news
19,"Crypto Price Today: Bitcoin jumps above $37,400; Solana, Avalanche zoom up to 25%","Meanwhile, a fall in US retail sales in October after months of strong gains pointed to a cooling economy and strengthened expectations that the Fed is done hiking rates.",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/crypto-prices-today-live-news-bitcoin-dogecoin-ethereum-shibha-inu-cryptocurrency-latest-updates-16-november-2023/articleshow/105253070.cms,markets
21,"Suzlon Energy shares jump 4%, hit fresh 52-week high. Here’s why!","RLMM or Revised List of Models & Manufacturers listing is an important milestone required for the successful commercialisation of the product, the company filing said. S144 – 3 MW series of wind turbines are extendable to 3.15 MW.",https://economictimes.indiatimes.com/news/politics//markets/stocks/news/suzlon-energy-shares-jump-4-hit-fresh-52-week-high-heres-why/articleshow/105252439.cms,markets
22,Badrinath temple's final flourish with 15 quintals of marigold; Check details inside,"As the last rays of sunlight bathed the Himalayan peaks in a warm glow, the sacred Badrinath Temple witnessed a spectacle of devotion and farewell. In the early hours of Saturday, the holy abode, nestled in the heart of the mountains, was adorned with 15 quintals of marigold flowers, creating a vibrant tapestry that resonated with spiritual grandeur.",https://economictimes.indiatimes.com/news/politics//news/new-updates/badrinath-temples-final-flourish-with-15-quintals-of-marigold-check-details-inside/articleshow/105306805.cms,news
23,IT staff forced to work 50 hours/week to meet deadlines: data,"IT employees in the country work on an average work for around 45-50 hours per week, translating around 10 hours a day in the 5-day week while the standard is 40 hours a week as a large part of them is often compelled to work longer hours to meet project deadlines, as per data from staffing firms.",https://economictimes.indiatimes.com/news/politics//jobs/hr-policies-trends/it-staff-forced-to-work-50-hours/week-to-meet-deadlines-experts/articleshow/105349619.cms,jobs
